59;497;-85;
59;456;-85;
66;421;-90;
66;397;-90;
59;383;-90;
48;374;-88;
43;367;-87;
43;363;-87;
43;361;-88;
41;355;-88;
31;341;-87;
20;325;-79;
13;309;-79;
13;289;-76;
-17;275;-63;
-17;265;-35;
-17;258;-35;
-18;242;-40;
25;233;-51;
25;233;-59;
26;233;-63;
26;240;-68;
23;243;-76;
19;243;-76;
12;243;-65;
12;235;-64;
-5;222;-64;
-3;208;-64;
-5;197;-63;
6;190;-63;
6;187;-66;
14;187;-66;
20;197;-57;
30;211;-46;
40;225;-33;
40;239;-17;
39;248;-17;
36;248;-5;
36;247;-11;
38;244;-11;
38;242;-15;
37;238;-18;
35;231;-20;
33;225;-25;
29;225;-27;
29;224;-30;
29;224;-35;
36;225;-39;
46;232;-45;
48;240;-51;
48;250;-53;
48;261;-54;
48;273;-56;
49;287;-62;
51;303;-63;
51;318;-63;
49;328;-58;
48;335;-51;
41;348;-41;
31;366;-27;
17;384;-25;
17;403;-25;
-28;427;-32;
-28;457;-38;
59;497;-85;
59;456;-85;
66;421;-90;
66;397;-90;
59;383;-90;
48;374;-88;
43;367;-87;
43;363;-87;
43;361;-88;
41;355;-88;
31;341;-87;
20;325;-79;
13;309;-79;
13;289;-76;
-17;275;-63;
-17;265;-35;
-17;258;-35;
-18;242;-40;
25;233;-51;
25;233;-59;
26;233;-63;
26;240;-68;
23;243;-76;
19;243;-76;
12;243;-65;
12;235;-64;
-5;222;-64;
-3;208;-64;
-5;197;-63;
6;190;-63;
6;187;-66;
14;187;-66;
20;197;-57;
30;211;-46;
40;225;-33;
40;239;-17;
39;248;-17;
36;248;-5;
36;247;-11;
38;244;-11;
38;242;-15;
37;238;-18;
35;231;-20;
33;225;-25;
29;225;-27;
29;224;-30;
29;224;-35;
36;225;-39;
46;232;-45;
48;240;-51;
48;250;-53;
48;261;-54;
48;273;-56;
49;287;-62;
51;303;-63;
51;318;-63;
49;328;-58;
48;335;-51;
41;348;-41;
31;366;-27;
17;384;-25;
17;403;-25;
-28;427;-32;
-28;457;-38;
59;497;-85;
59;456;-85;
66;421;-90;
66;397;-90;
59;383;-90;
48;374;-88;
43;367;-87;
43;363;-87;
43;361;-88;
41;355;-88;
31;341;-87;
20;325;-79;
13;309;-79;
13;289;-76;
-17;275;-63;
-17;265;-35;
-17;258;-35;
-18;242;-40;
25;233;-51;
25;233;-59;
26;233;-63;
26;240;-68;
23;243;-76;
19;243;-76;
12;243;-65;
12;235;-64;
-5;222;-64;
-3;208;-64;
-5;197;-63;
6;190;-63;
6;187;-66;
14;187;-66;
20;197;-57;
30;211;-46;
40;225;-33;
40;239;-17;
39;248;-17;
36;248;-5;
36;247;-11;
38;244;-11;
38;242;-15;
37;238;-18;
35;231;-20;
33;225;-25;
29;225;-27;
29;224;-30;
29;224;-35;
36;225;-39;
46;232;-45;
48;240;-51;
48;250;-53;
48;261;-54;
48;273;-56;
49;287;-62;
51;303;-63;
51;318;-63;
49;328;-58;
48;335;-51;
41;348;-41;
31;366;-27;
17;384;-25;
17;403;-25;
-28;427;-32;
-28;457;-38;
59;497;-85;
59;456;-85;
66;421;-90;
66;397;-90;
59;383;-90;
48;374;-88;
43;367;-87;
43;363;-87;
43;361;-88;
41;355;-88;
31;341;-87;
20;325;-79;
13;309;-79;
13;289;-76;
-17;275;-63;
-17;265;-35;
-17;258;-35;
-18;242;-40;
25;233;-51;
25;233;-59;
26;233;-63;
26;240;-68;
23;243;-76;
19;243;-76;
12;243;-65;
12;235;-64;
-5;222;-64;
-3;208;-64;
-5;197;-63;
6;190;-63;
6;187;-66;
14;187;-66;
20;197;-57;
30;211;-46;
40;225;-33;
40;239;-17;
39;248;-17;
36;248;-5;
36;247;-11;
38;244;-11;
38;242;-15;
37;238;-18;
35;231;-20;
33;225;-25;
29;225;-27;
29;224;-30;
29;224;-35;
36;225;-39;
46;232;-45;
48;240;-51;
48;250;-53;
48;261;-54;
48;273;-56;
49;287;-62;
51;303;-63;
51;318;-63;
49;328;-58;
48;335;-51;
41;348;-41;
31;366;-27;
17;384;-25;
17;403;-25;
-28;427;-32;
-28;457;-38;
59;497;-85;
59;456;-85;
66;421;-90;
66;397;-90;
59;383;-90;
48;374;-88;
43;367;-87;
43;363;-87;
43;361;-88;
41;355;-88;
31;341;-87;
20;325;-79;
13;309;-79;
13;289;-76;
-17;275;-63;
-17;265;-35;
-17;258;-35;
-18;242;-40;
25;233;-51;
25;233;-59;
26;233;-63;
26;240;-68;
23;243;-76;
19;243;-76;
12;243;-65;
12;235;-64;
-5;222;-64;
-3;208;-64;
-5;197;-63;
6;190;-63;
6;187;-66;
14;187;-66;
20;197;-57;
30;211;-46;
40;225;-33;
40;239;-17;
39;248;-17;
36;248;-5;
36;247;-11;
38;244;-11;
38;242;-15;
37;238;-18;
35;231;-20;
33;225;-25;
29;225;-27;
29;224;-30;
29;224;-35;
36;225;-39;
46;232;-45;
48;240;-51;
48;250;-53;
48;261;-54;
48;273;-56;
49;287;-62;
51;303;-63;
51;318;-63;
49;328;-58;
48;335;-51;
41;348;-41;
31;366;-27;
17;384;-25;
17;403;-25;
-28;427;-32;
-28;457;-38;
59;497;-85;
59;456;-85;
66;421;-90;
66;397;-90;
59;383;-90;
48;374;-88;
43;367;-87;
43;363;-87;
43;361;-88;
41;355;-88;
31;341;-87;
20;325;-79;
13;309;-79;
13;289;-76;
-17;275;-63;
-17;265;-35;
-17;258;-35;
-18;242;-40;
25;233;-51;
25;233;-59;
26;233;-63;
26;240;-68;
23;243;-76;
19;243;-76;
12;243;-65;
12;235;-64;
-5;222;-64;
-3;208;-64;
-5;197;-63;
6;190;-63;
6;187;-66;
14;187;-66;
20;197;-57;
30;211;-46;
40;225;-33;
40;239;-17;
39;248;-17;
36;248;-5;
36;247;-11;
38;244;-11;
38;242;-15;
37;238;-18;
35;231;-20;
33;225;-25;
29;225;-27;
29;224;-30;
29;224;-35;
36;225;-39;
46;232;-45;
48;240;-51;
48;250;-53;
48;261;-54;
48;273;-56;
49;287;-62;
51;303;-63;
51;318;-63;
49;328;-58;
48;335;-51;
41;348;-41;
31;366;-27;
17;384;-25;
17;403;-25;
-28;427;-32;
-28;457;-38;
59;497;-85;
59;456;-85;
66;421;-90;
66;397;-90;
59;383;-90;
48;374;-88;
43;367;-87;
43;363;-87;
43;361;-88;
41;355;-88;
31;341;-87;
20;325;-79;
13;309;-79;
13;289;-76;
-17;275;-63;
-17;265;-35;
-17;258;-35;
-18;242;-40;
25;233;-51;
25;233;-59;
26;233;-63;
26;240;-68;
23;243;-76;
19;243;-76;
12;243;-65;
12;235;-64;
-5;222;-64;
-3;208;-64;
-5;197;-63;
6;190;-63;
6;187;-66;
14;187;-66;
20;197;-57;
30;211;-46;
40;225;-33;
40;239;-17;
39;248;-17;
36;248;-5;
36;247;-11;
38;244;-11;
38;242;-15;
37;238;-18;
35;231;-20;
33;225;-25;
29;225;-27;
29;224;-30;
29;224;-35;
36;225;-39;
46;232;-45;
48;240;-51;
48;250;-53;
48;261;-54;
48;273;-56;
49;287;-62;
51;303;-63;
51;318;-63;
49;328;-58;
48;335;-51;
41;348;-41;
31;366;-27;
17;384;-25;
17;403;-25;
-28;427;-32;
-28;457;-38;
-40;489;-44;
-45;529;-55;
-45;573;-68;
-43;611;-90;
-41;636;-107;
-37;636;-119;
-33;621;-131;
-33;588;-148;
-37;552;-163;
-54;519;-173;
-63;497;-184;
-66;481;-201;
-66;469;-201;
-55;457;-200;
-52;446;-180;
-52;430;-158;
-52;404;-158;
-43;376;-159;
-25;352;-175;
-25;352;-182;
22;363;-187;
22;405;-197;
45;454;-203;
75;497;-203;
99;530;-199;
99;541;-189;
98;541;-181;
79;519;-171;
57;485;-165;
38;444;-161;
21;401;-155;
21;360;-153;
-15;326;-149;
-15;300;-146;
-16;279;-145;
-16;263;-140;
-12;250;-132;
-6;240;-121;
-6;235;-109;
2;232;-99;
2;232;-93;
8;232;-89;
16;236;-89;
24;241;-89;
27;243;-91;
27;243;-98;
25;237;-102;
19;230;-103;
11;223;-104;
11;216;-107;
-18;206;-110;
-18;194;-112;
-28;184;-113;
-34;176;-113;
-35;166;-113;
-35;159;-113;
-32;151;-113;
-26;145;-113;
-22;145;-108;
-15;146;-99;
-11;154;-93;
-9;167;-91;
-9;185;-91;
28;208;-93;
-40;489;-44;
-45;529;-55;
-45;573;-68;
-43;611;-90;
-41;636;-107;
-37;636;-119;
-33;621;-131;
-33;588;-148;
-37;552;-163;
-54;519;-173;
-63;497;-184;
-66;481;-201;
-66;469;-201;
-55;457;-200;
-52;446;-180;
