label,meanSVMAcc,meanXAcc,meanYAcc,meanZAcc,maxSVMAcc,maxXAcc,maxYAcc,maxZAcc,minSVMAcc,minXAcc,minYAcc,minZAcc,stdSVMAcc,stdXAcc,stdYAcc,stdZAcc,meanPeak
0,26.338,326.63,-31.911,55.663,31.571,435.69,8.8362,95.895,19.393,201.37,-47.305,11.649,2.6743,57.119,13.157,18.5,30.172
0,25.165,320.14,-11.588,9.3965,27.866,403.29,13.923,50.396,19.68,164.19,-40.782,-84.968,1.6314,47.764,15.149,41.302,26.939
0,26.933,360.6,-26.695,35.267,32.502,454.96,5.573,92.578,18.272,194.47,-77.441,-47.052,3.6314,64.434,24.451,39.632,31.584
0,26.835,334.33,-26.198,56.325,32.578,446.67,0.19751,94.086,19.312,189.02,-44.926,19.405,2.9926,64.236,12.448,17.687,31.256
0,25.119,313.93,-10.764,14.206,27.478,383.96,17.4,50.789,19.2,158,-40,-60.495,1.9521,42.376,16.846,35.701,26.702
0,26.612,360.38,-29.253,30.483,32.402,455.3,3.7631,84.732,17.858,164.9,-75.621,-32.058,3.9086,69.557,26.473,35.228,31.697
0,26.703,339.76,-29.337,50.517,31.848,428.25,-3.4525,86.516,18.466,171.08,-46.76,12.694,2.9968,61.658,12.592,17.815,30.689
0,25.545,311.89,-3.6636,20.213,27.992,371.96,21.806,54.988,18.586,159.58,-27.344,-50.525,2.0963,38.628,11.878,32.378,27.021
0,26.51,358.28,-25.197,24.921,32.242,459.11,3.9784,92.456,17.29,168.8,-67.761,-41.645,3.668,67.34,21.158,38.466,31.462
0,26.56,335.97,-25.66,44.959,30.47,395.21,1.724,83.512,19.436,184.4,-39.079,18.207,2.2756,47.862,11.122,16.817,29.333
0,25.286,327.26,-15.956,9.7515,27.309,383.58,5.3232,39.896,18.74,168.27,-35.799,-44.779,1.6668,40.4,11.744,25.604,26.735
0,26.859,342.5,-11.374,36.721,31.33,431.62,15.706,78.312,16.421,141.39,-39.307,4.0915,3.8114,72.819,20.028,24.745,31.014
0,26.873,340.58,-8.8745,30.778,28.414,386.62,3.3574,44.183,20.24,189.25,-38.474,17.908,1.6832,37.847,12.809,6.5736,27.817
0,26.271,345.85,30.359,-29.769,28.372,394.67,58.937,27.344,19.346,175.81,-3.3095,-59.308,1.6575,47.819,17.415,26.11,27.336
0,26.538,337.18,7.9177,9.9934,29.548,381.89,40.256,34.622,18.903,180.51,-35.309,-16.85,2.4483,44.499,26.864,15.361,29.27
0,26.111,337.38,-34.205,39.023,28.186,383.61,-11.792,57.468,20.816,204.36,-51.027,13.062,1.6306,33.993,12.407,10.211,27.529
0,25.994,333.69,2.9582,2.6478,28.765,416.97,39.426,45.612,18.751,161.58,-20.738,-55.241,1.7181,55.897,16.155,28.469,27.293
0,26.706,355.35,-11.465,23.073,32.521,451.46,22.137,66.162,14.29,140.71,-59.059,-32.964,4.5881,76.324,29.264,34.259,31.809
0,24.976,317.7,-36.509,31.896,27.521,367.23,-21.667,52.81,19.193,207.12,-49.678,7.2635,1.5524,31.786,6.1513,14.569,25.771
0,26.439,345.93,-3.6875,10.962,32.218,468.85,25.319,82.657,18.458,152.08,-28.691,-67.975,2.7384,71.06,14.138,38.715,30.27
0,27.864,351.42,-8.05,52.654,32.964,440.84,16.117,107.44,15.779,156.32,-63.591,-16.314,3.9896,66.251,25.679,36.108,32.157
0,25.501,314.93,-28.01,39.607,27.656,393.78,-10.496,62.665,19.456,171.23,-41.341,15.35,1.6713,45.039,9.6112,14.169,26.609
0,27.305,360.89,-17.082,34.555,32.749,446.18,10.58,116.97,18.417,162.09,-43.83,-34.434,3.3671,63.591,14.631,46.235,29.435
0,27.947,326.89,-2.757,68.845,31.48,389.52,10.116,106,20.416,176.44,-13.744,32.691,2.2405,45.348,6.6617,17.332,30.503
0,24.665,320.02,-32.246,18.603,28.196,417.83,-17.782,45.319,17.885,155.2,-59.39,-23.41,2.1146,55.836,13.338,18.718,26.797
0,27.338,369.7,-17.009,28.541,33.833,480.36,13.309,105.39,20.225,196.74,-32.469,-76.161,3.9158,78.07,15.108,54.724,32.887
0,26.91,317.04,-3.8384,51.997,31.278,408,13.767,82.582,20.075,210.94,-19.816,-4.0668,2.5244,45.238,8.143,23.578,30.322
0,24.265,326.19,-38.588,8.9784,27.755,417.83,-11.745,43.618,17.641,162.57,-73.83,-43.775,2.1063,60.039,17.214,21.876,26.566
0,26.499,362.15,-21.919,15.368,31.52,480.55,3.0394,81.382,17.827,186.61,-42.876,-78.705,3.0212,67.772,16.153,51.112,30.506
0,25.634,332.53,-22.901,20.526,28.289,371.4,0.044016,96.628,19.139,168.57,-61.48,-15.197,1.8052,40.568,19.965,37.825,27.409
0,27.479,339.06,-37.746,77.424,29.056,389.32,1.7749,105.44,20.99,202.23,-65.17,42.514,1.5622,39.024,17.225,14.658,28.303
0,24.057,337.37,-24.278,-20.836,29.362,431.45,-8.0653,61.279,16.995,142.14,-45.629,-91.32,2.4272,67.47,11.347,43.876,27.37
0,25.724,354.99,-33.83,18.593,31.576,450.99,-7.4663,78.336,14.891,154.12,-85.002,-66.644,4.2476,76.026,22.954,42.227,30.733
0,23.876,305.98,-38.282,18.66,26.98,356.51,-25.303,50.679,18.98,209.59,-46.814,-20.624,1.6354,35.231,5.8455,21.888,24.835
0,25.564,346.27,-10.517,-3.619,32.49,463.06,9.0438,75.755,17.326,135.31,-32.268,-98.056,3.3051,83.741,13.051,47.466,30.434
