1772,-70,-1113
1740,-68,-838
1740,-44,-534
1535,-17,-244
1362,-17,-244
1166,67,232
1047,67,232
987,67,232
986,61,191
986,61,122
995,-34,75
998,-34,75
998,-53,-117
1008,-75,-117
1029,-91,-223
1075,-91,-303
1127,-82,-358
1127,-57,-397
1065,-31,-409
937,-31,-409
801,16,-364
678,16,-298
540,21,-234
381,30,-176
210,43,-119
210,56,-58
-254,66,-58
-254,73,19
-407,80,19
-557,82,-201
-661,82,-201
-707,72,-373
-744,72,-491
-744,-40,-491
-700,-40,-476
-554,-59,-375
-361,-70,-229
-361,-70,-229
480,-60,281
480,-44,201
574,-44,201
574,12,101
550,12,77
518,12,62
465,14,45
391,17,31
286,17,31
151,15,40
151,15,51
-277,21,51
-277,37,54
-362,57,-36
-369,72,-36
-369,72,-42
-298,72,-42
-202,52,-42
-105,24,63
-105,24,63
51,-37,91
46,-37,91
46,-52,75
25,-67,53
25,-81,32
-29,-90,32
-29,-90,-43
-41,-90,-43
-50,-80,-60
-50,-66,-60
-45,-48,-60
-30,-28,-49
-30,-28,-39
30,11,-29
30,11,-19
47,15,-19
61,19,1
63,19,1
63,17,-25
46,17,-25
46,-13,-47
-46,-13,-70
-46,-18,-94
-78,-18,-113
-106,-13,-125
-126,-13,-125
-137,10,-118
-137,10,-102
-132,15,-83
-121,15,-67
-98,12,-54
-98,8,-45
100,7,-37
100,7,-37
205,22,-31
346,23,-41
538,27,67
741,31,67
914,58,103
1079,94,132
1263,94,157
1481,98,-121
1937,-126,-121
2047,-126,-228
2047,-126,-756
1921,-130,-1084
1755,-66,-1084
1755,-30,-838
1397,-13,-444
1226,-13,-444
1002,-105,641
776,-105,597
685,-160,597
652,133,436
634,133,318
634,189,272
678,189,233
765,177,233
858,130,-199
981,89,-199
1252,89,-290
1594,-11,-338
1612,-11,-458
1612,53,-587
1412,38,-587
1202,53,-514
985,-63,-385
769,-63,-218
566,-111,-85
371,-143,-85
195,-143,-15
195,-118,-49
-194,-80,-49
-194,-45,-74
-304,-21,-87
-415,-9,-105
-527,-9,-150
