label;meanSVMAcc;meanXAcc;meanYAcc;meanZAcc;maxSVMAcc;maxXAcc;maxYAcc;maxZAcc;minSVMAcc;minXAcc;minYAcc;minZAcc;stdSVMAcc;stdXAcc;stdYAcc;stdZAcc;meanPeak
2;326.72;253.24;13.042;-38.531;1490.3;1636.6;44.295;49.114;21.281;-214.82;-14.126;-185.24;440.5;511.29;17.548;68.825;1490.3
2;405.05;368.87;6.0916;-41.985;1543.5;1715;49.448;35.705;18.971;-214.64;-14.541;-152.77;457.49;541.63;15.064;57.201;1543.5
2;414.71;355.46;9.1744;-56.544;1530.2;1706.4;110.46;31.313;27.111;-189.62;-44.837;-242.98;453.14;560.38;33.391;69.746;1530.2
2;316.72;269.99;9.1888;-49.647;1495.2;1662.6;51.387;44.207;34.375;-200.92;-11.323;-278.05;437.64;488.48;16.433;97.033;1495.2
2;554.05;518.2;16.11;-69.594;1562.6;1723.4;72.611;49.901;23.183;-209.35;-19.734;-240.23;540.5;633.49;26.496;73.297;1539
0;336.17;338.94;-16.524;14.463;456.26;465;10.179;74.74;92.147;127.9;-72.42;-61.522;72.922;69.248;21.771;34.29;456.26
0;340.04;342.16;-8.7801;24.577;466.99;467.99;14.873;85.635;130.18;167.22;-42.651;-82.609;72.75;67.936;18.017;39.376;466.99
0;357.14;361.26;-10.04;-17.425;453.59;465.07;26.734;102.05;148.79;204.18;-44.135;-72.45;51.518;48.344;19.616;40.659;431.74
0;361.32;353;-1.0853;-53.88;554.14;574.11;82.561;80.202;126.72;150.48;-100.14;-193.86;102.97;103.19;49.422;86.087;554.14
0;315.57;302.22;-17.284;-23.871;521.61;544.03;112.47;106.73;60.03;76.883;-111.95;-227.73;114.61;114.95;54.104;86.486;521.61
0;350.97;341.97;14.764;-15.87;546.08;552.29;132.6;106.66;111.77;129.62;-90.204;-193.94;112.67;116.47;56.634;88.451;526.49
0;309.1;304.28;13.59;-18.07;520.34;527.83;99.229;37.756;99.021;115.83;-89.568;-193.43;117.08;118.51;51.153;68.55;520.34
0;371.38;361.48;-2.2242;-34.316;543.36;560.52;82.835;84.03;132.85;146;-97.132;-236.22;114.18;111.75;52.096;98.063;540.71
0;313.47;303.53;6.614;-0.99463;516.7;530.25;143.11;71.747;129.62;148.5;-107.03;-232.32;112.25;111.12;60.1;83.568;516.7
0;351.39;340.5;-1.9781;-43.272;536.66;535.37;116.71;93.385;79.161;85.953;-108.24;-252.79;109.29;108.45;50.856;100.14;513.45
0;332.83;325.98;17.829;3.0113;554.28;591.67;106.53;107.53;95.906;98.166;-71.305;-204.08;99.636;102.82;50.697;80.124;554.28
0;352.58;341.6;9.6589;-43.434;541.67;590.89;128.2;81.367;110.67;119.71;-121.32;-217.39;93.682;96.932;63.143;90.728;493.77
0;328.91;327.19;5.025;4.6156;504.45;524.49;79.673;83.127;114.28;127.28;-56.634;-169.3;75.101;79.476;27.241;64.436;504.45
0;344.39;343.08;-29.676;52.775;446.88;454.86;-0.98336;84.412;107.48;148.12;-77.632;-16.82;61.043;53.158;21.363;32.034;446.88
0;342.49;343.66;-29.359;34.745;458.66;462.65;11.774;96.645;139.24;187.78;-57.886;-63.466;62.352;56.01;18.768;36.214;458.66
0;353.95;354.89;-39.145;25.664;449.17;447;10.319;101.67;112.7;147.36;-87.19;-81.888;64.741;62.368;23.08;43.311;441.97
2;372.26;288.2;25.033;-35.413;1609.1;1766.7;154.05;48.725;23.897;-258.31;-19.137;-166.7;459.56;553.6;42.313;56.128;1609.1
2;324.83;273.17;6.8117;-8.2173;1532.2;1703;51.859;43.84;21.017;-222;-14.729;-88.965;459.35;521.7;18.224;40.882;1532.2
2;537.51;494.04;1.3052;-41.105;1474.8;1591.4;66.62;61.335;34.743;-263.32;-42.535;-141.32;467;556.08;22.924;61.568;1310.9
2;405.72;402.56;16.123;-33.657;1056;1117.9;41.189;34.598;44.398;-22.328;-4.2592;-161.81;299.44;320.07;14.422;47.196;1056
2;349.73;262.14;9.8811;-38.316;1564.7;1704.3;62.328;66.8;17.534;-233.28;-38.794;-179.43;458.69;540.54;25.94;79.382;1564.7
2;484.12;441.94;28.818;-74.263;1590.9;1764.9;114.73;44.938;15.821;-227.6;-14.111;-274.35;510.19;606.85;36.499;97.142;1462.4
2;359.01;297.82;7.428;-32.639;1448.8;1582.4;38.134;44.765;21.483;-204.76;-39.886;-146.74;425.22;507.06;16.574;48.736;1448.8
2;325.15;287.96;-2.46;-38.338;1463.4;1612.7;36.8;35.477;20.662;-181.63;-25.533;-170.08;433.26;486.67;13.799;65.217;1463.4
