343;23;13
344;23;13
344;24;12
339;35;12
336;35;8
336;37;8
344;-2;18
349;-2;21
349;30;21
338;23;3
331;23;3
331;23;12
331;27;23
330;27;27
330;16;28
333;16;31
335;17;31
335;22;23
333;22;14
333;7;14
342;7;18
346;15;18
346;15;12
345;13;12
345;12;12
346;12;13
346;21;13
342;21;8
338;19;7
335;14;5
335;14;4
337;14;4
341;14;3
344;11;2
347;11;2
347;14;-2
345;14;-2
345;11;10
342;11;10
337;8;13
335;8;17
333;11;17
333;13;16
334;14;14
337;17;14
341;21;13
344;26;9
345;26;4
347;24;1
348;20;1
349;16;3
349;14;6
349;13;8
348;13;10
344;13;11
339;15;12
333;16;12
331;18;15
330;26;15
330;26;15
333;26;15
337;26;16
340;26;16
340;24;11
337;24;9
337;21;9
347;16;18
353;10;18
353;4;14
346;2;6
341;1;2
341;1;2
341;1;3
341;1;3
341;1;3
340;6;4
339;1;5
339;1;7
341;1;8
341;1;8
340;2;6
339;-1;6
339;-1;6
340;4;5
340;4;4
339;10;4
339;15;4
339;17;4
340;17;5
343;17;6
347;17;7
349;17;7
349;17;6
348;15;5
345;14;5
341;14;6
337;15;7
334;17;7
331;20;7
331;21;6
331;21;5
334;21;5
339;20;5
343;19;4
346;18;3
347;17;2
347;16;2
346;15;4
344;14;6
341;12;8
338;11;10
337;11;12
337;10;12
337;9;11
340;9;11
343;11;9
346;12;4
348;-2;4
352;-2;4
352;5;4
347;5;4
341;4;4
336;4;7
331;5;10
329;6;11
329;9;11
332;11;7
337;11;7
342;9;-1
347;5;-1
350;2;2
351;2;2
351;4;2
349;5;1
344;5;1
338;5;1
333;7;3
331;9;5
330;11;6
330;11;6
331;11;7
333;9;9
336;5;9
339;3;9
341;2;8
341;2;6
341;3;6
341;5;6
339;6;6
338;8;7
338;8;8
337;7;8
337;5;8
337;5;7
337;5;5
338;5;3
340;4;2
343;3;2
347;1;2
350;1;3
353;2;3
353;5;2
353;6;2
352;7;3
352;12;5
349;18;6
346;24;7
343;29;9
342;29;13
341;29;14
338;31;14
332;35;11
325;35;11
322;35;11
322;34;15
323;34;20
323;46;23
325;56;24
329;56;26
335;52;28
341;47;28
347;38;26
353;30;22
357;24;16
358;20;9
358;14;9
357;14;-5
355;-8;-5
351;-8;-5
344;-8;-5
337;-8;-4
331;-4;-3
327;-4;-3
327;-9;6
330;-12;5
333;-12;5
336;-7;5
339;-4;-3
342;-4;-3
344;-4;8
345;-5;8
345;-7;12
345;-7;13
344;-5;13
342;-5;11
340;3;9
338;3;7
337;6;5
337;8;4
337;10;4
338;10;3
341;10;3
342;11;3
342;13;3
341;14;-2
340;15;-1
338;18;-2
338;20;5
338;20;5
340;21;9
341;22;12
342;24;13
342;24;14
342;24;14
342;24;14
342;24;12
342;22;9
342;22;9
340;23;9
338;25;10
335;29;12
332;30;15
332;30;19
332;30;24
334;32;25
336;35;25
339;35;25
344;35;25
350;30;25
355;26;25
359;21;22
359;17;16
359;14;10
357;12;5
354;9;2
351;7;2
347;7;-2
343;-3;-1
340;-1;-2
337;-3;-1
334;6;-1
331;6;-1
330;7;5
330;7;5
334;4;11
338;4;16
343;-4;18
346;-4;18
346;-5;16
345;-6;14
342;-6;13
339;-6;12
337;-6;12
336;2;13
336;2;15
335;5;17
333;5;17
333;5;18
333;4;19
335;4;19
338;2;18
340;3;16
341;3;13
341;5;11
341;7;11
341;9;13
340;11;15
340;13;17
340;15;19
340;18;19
341;19;18
341;19;16
344;14;14
347;12;14
348;12;12
348;7;11
347;3;11
344;2;14
341;2;14
336;-4;16
333;-3;19
329;-4;19
327;5;20
327;5;20
327;10;21
331;14;24
335;20;24
339;28;24
343;39;21
345;48;18
348;48;18
350;45;19
350;39;22
349;35;22
346;31;22
342;26;22
338;23;22
335;20;21
333;18;21
333;16;20
335;15;20
337;15;20
339;16;19
341;18;19
341;21;19
340;21;19
339;19;19
339;15;19
339;9;19
339;9;17
340;-4;15
341;-4;15
345;-6;15
348;-6;17
350;-6;19
350;-4;20
349;-4;20
347;-5;20
345;-5;20
343;17;20
342;17;19
341;17;16
340;16;16
340;16;18
338;16;19
335;17;20
333;18;21
330;19;22
328;19;24
327;17;25
327;14;26
331;13;26
336;12;24
343;12;18
350;13;11
356;13;11
361;13;-10
366;14;-10
369;16;-11
369;18;-11
366;19;-7
359;19;-7
349;20;8
337;20;8
328;21;13
321;21;17
317;22;21
317;24;24
321;26;26
328;28;27
335;29;27
342;29;26
348;28;24
352;26;20
355;23;16
356;20;12
356;17;8
355;15;8
351;12;8
347;10;11
343;9;16
339;8;21
335;6;26
332;5;30
329;4;32
327;3;33
327;3;34
328;4;36
332;6;38
336;7;40
341;8;40
345;9;40
348;9;39
348;9;37
346;10;35
344;11;33
340;12;32
336;13;32
332;15;32
328;16;32
325;18;33
322;18;34
320;18;37
320;18;40
320;18;42
324;18;43
329;18;43
336;18;40
343;18;37
349;17;32
353;17;29
353;16;26
352;14;25
350;14;25
346;14;26
342;14;28
340;15;30
339;15;32
339;14;34
339;12;34
341;12;33
342;12;30
344;13;27
345;13;24
346;12;21
346;12;17
346;12;15
345;12;13
344;12;13
343;12;14
341;11;17
340;10;20
339;9;24
338;8;26
337;8;27
337;8;29
337;9;29
337;9;29
337;9;29
338;10;28
339;10;27
339;10;27
341;10;26
341;10;26
340;11;26
339;12;27
338;13;27
338;14;28
338;15;28
338;16;28
339;18;28
339;18;27
340;18;26
340;18;25
340;17;25
338;15;25
335;15;25
333;15;26
331;16;27
331;16;29
332;16;31
334;16;31
336;15;32
338;14;32
340;12;30
341;10;29
342;7;27
343;5;25
344;3;24
344;2;23
344;2;23
343;1;23
342;1;24
340;1;25
338;1;25
336;1;26
335;2;26
334;2;26
334;2;26
335;2;27
337;3;27
339;4;28
341;5;29
342;6;29
342;7;29
342;8;28
342;9;26
343;9;25
344;8;22
345;8;18
346;8;14
348;8;12
349;8;10
349;9;8
349;10;8
347;11;8
344;12;9
341;13;10
339;14;12
337;16;14
337;16;15
338;17;16
340;18;16
343;19;17
346;19;17
349;19;17
351;20;17
351;20;18
349;20;19
345;20;22
341;21;25
337;22;26
334;23;26
332;23;26
332;23;25
333;22;22
335;20;18
339;20;14
342;20;11
342;22;11
341;24;13
339;24;18
339;23;21
341;17;21
347;17;21
352;19;12
359;19;2
359;19;2
348;14;10
336;14;28
326;14;28
326;17;29
327;17;30
329;14;34
332;14;34
333;14;33
335;16;27
338;19;23
340;21;20
340;21;17
340;21;16
339;19;16
339;19;20
344;17;21
344;16;25
341;16;27
340;16;27
340;19;27
343;19;27
346;19;23
348;22;19
351;24;18
356;25;18
363;27;19
370;30;19
377;31;18
377;31;16
376;28;15
370;27;15
364;23;13
348;19;12
326;12;12
308;8;12
296;8;16
283;-2;22
279;-2;26
279;-4;30
279;-45;32
282;-45;32
282;-47;29
317;32;29
347;32;58
383;26;58
408;15;31
423;15;31
427;17;-6
427;17;-6
410;17;-6
382;14;9
353;11;9
328;11;16
311;13;23
302;15;27
302;15;28
308;16;28
318;18;23
330;20;17
343;23;11
353;26;6
357;26;4
357;25;4
352;23;10
345;22;18
339;21;25
332;21;31
326;22;36
319;24;40
315;25;44
314;25;49
314;25;54
318;26;56
321;27;57
324;27;57
330;27;57
336;25;57
343;25;57
349;25;53
353;24;49
353;21;46
353;18;43
350;15;40
346;13;38
342;11;38
338;10;40
334;10;42
329;11;43
326;14;44
326;16;44
326;18;43
330;20;43
334;21;43
338;21;43
342;19;44
345;18;45
346;16;45
346;14;45
344;12;43
342;8;43
339;5;43
338;4;43
337;3;43
337;3;44
337;3;45
337;3;46
338;2;46
338;2;46
338;2;46
339;3;46
340;4;47
340;5;47
339;6;48
339;6;48
338;6;48
337;6;47
337;7;46
336;8;45
336;9;44
337;10;44
338;11;44
340;12;44
342;13;44
343;14;40
344;14;40
344;14;40
342;16;31
341;16;31
341;16;33
341;15;34
340;14;36
339;12;39
336;11;43
333;11;46
329;12;46
327;14;45
327;15;42
329;15;38
332;15;38
335;16;38
338;17;40
338;17;41
336;16;42
334;15;42
332;14;40
331;13;39
331;13;38
333;14;34
335;14;31
338;14;27
340;13;25
341;13;25
343;14;26
345;15;28
345;16;29
345;19;30
345;19;33
345;19;34
342;17;36
340;15;36
340;14;36
340;14;32
341;13;28
343;11;25
345;11;22
345;11;22
347;11;23
348;12;24
348;12;24
347;12;24
346;12;23
345;13;21
344;13;21
344;13;22
344;13;24
345;15;24
347;16;24
349;17;24
349;18;21
347;20;17
344;21;14
341;22;10
338;23;10
336;23;11
336;22;14
338;22;17
340;22;18
342;21;18
343;21;18
344;20;18
344;19;19
343;18;21
342;18;24
341;18;25
340;17;27
340;15;27
340;15;26
333;14;22
333;13;22
339;13;25
339;14;28
341;14;28
343;15;28
343;15;27
343;15;27
342;15;27
340;15;25
338;15;22
337;15;22
337;15;24
339;15;28
340;15;31
342;16;31
342;16;30
342;16;27
341;16;25
340;16;24
340;15;24
342;15;28
342;15;28
340;16;14
340;16;14
340;15;22
340;15;25
340;15;25
342;15;31
342;15;31
339;15;31
336;14;29
332;13;29
332;12;30
334;12;30
337;13;27
340;15;27
344;17;27
346;17;27
347;17;27
347;17;27
345;17;28
342;17;28
339;17;28
339;17;29
339;16;29
339;16;29
334;15;24
334;15;24
339;15;25
340;16;28
342;16;31
345;16;33
345;16;33
345;16;32
343;14;31
341;12;29
337;11;26
334;11;26
334;12;28
336;12;30
340;13;32
343;14;32
344;16;32
344;16;32
344;16;32
338;18;25
338;18;25
340;17;25
340;17;27
342;16;29
342;14;32
342;14;32
340;13;32
336;13;31
335;13;31
335;15;30
337;16;29
338;16;29
340;17;29
341;17;31
342;18;32
342;18;32
341;17;32
341;17;32
341;17;32
341;16;31
341;15;31
341;14;31
341;14;31
338;14;25
338;15;25
338;16;30
340;18;30
343;18;34
345;18;34
345;17;33
343;17;30
339;15;25
336;14;24
336;14;24
336;14;27
339;15;30
341;16;32
343;17;34
343;17;34
342;17;31
339;16;28
336;15;28
334;15;28
334;15;29
336;15;30
339;16;30
342;16;28
344;16;27
344;15;26
343;15;26
341;15;26
341;17;26
341;18;30
341;18;30
341;18;32
341;17;32
340;17;32
340;16;30
339;16;28
338;15;28
338;15;28
338;15;29
339;15;31
340;16;33
341;16;35
341;17;35
340;17;34
339;18;33
338;18;32
338;18;30
339;17;29
340;17;29
341;16;28
343;15;28
343;15;27
343;15;27
342;16;28
341;16;29
340;17;30
339;18;32
338;19;32
338;19;31
337;18;30
337;18;29
339;17;29
341;17;30
343;17;30
343;17;30
342;17;32
341;17;33
340;17;33
340;17;33
340;15;35
340;15;35
336;17;22
336;17;22
340;17;29
342;19;29
345;19;33
347;19;33
347;19;30
343;17;27
338;15;27
334;15;28
334;16;30
334;16;32
335;16;34
337;16;34
339;17;33
341;17;30
342;16;27
342;15;27
342;15;28
341;15;30
341;16;32
340;16;33
339;17;33
339;18;32
338;18;31
338;18;28
338;17;27
338;15;27
340;15;28
342;15;29
344;16;30
345;18;33
345;18;36
343;18;36
341;19;36
339;19;33
338;18;31
337;17;28
337;17;27
338;17;27
340;16;27
342;16;28
342;16;28
342;16;29
339;16;30
336;17;32
335;17;33
335;18;34
336;18;34
337;17;34
340;17;33
342;17;31
343;17;29
344;17;28
344;17;28
344;17;28
343;17;29
342;16;30
341;16;30
339;17;31
338;17;32
337;18;32
337;18;32
338;18;32
339;18;33
340;18;34
341;17;34
342;17;34
342;17;34
342;16;34
341;16;33
340;16;31
339;16;30
339;16;30
339;16;31
340;16;32
341;17;33
342;17;33
342;17;32
341;17;31
340;16;30
338;16;29
337;17;28
337;17;28
337;17;28
338;18;29
340;18;30
342;18;30
342;18;29
342;18;29
341;17;30
340;17;30
339;17;30
339;16;29
337;16;26
337;16;26
340;17;27
342;19;29
344;20;31
345;20;32
345;21;33
345;21;34
343;20;35
341;20;35
338;20;35
336;20;35
336;20;36
336;18;37
338;17;37
340;17;37
340;17;37
340;17;36
339;17;34
338;16;34
336;16;35
335;16;35
335;16;36
336;17;35
339;18;35
341;18;35
343;19;34
343;19;33
343;19;32
342;18;32
341;17;32
339;16;32
339;15;33
339;15;34
339;16;34
340;16;34
341;17;33
341;17;32
341;17;32
341;17;33
342;17;35
342;17;35
341;17;35
340;17;35
339;17;35
